record_species,record,order,family1,genus1,species1,family2,genus2,species2,family3,genus_species,genus3,species3,stage,n_numb,n_cat,n_comment,raw_ctm1,raw_ctm2,acclim,acclim_time,acclim_time_life_120,log_acclim_time,acclim_temp,safety,heating_rate,photoperiod,ep1,ep1_descrip,ep2,elevation,log_elevation,locality,geog_cat,abs_lat,log_abs_lat,latitude,longitude,source,comments,year,citation,reference,range,log_range,introduced,elev_min,elev_max,svl,log_svl,habitat,tmxslope,bioclim5,iucn_2014,iucn_2104risk
694_Desmognathus fuscus,694,Caudata,Plethodontidae,Desmognathus,fuscus,Plethodontidae,Desmognathus,fuscus,Plethodontidae,Desmognathus fuscus,Desmognathus,fuscus,Adult,7,A,Given,33.4,NA,Y,0,0,0,25,4.1,0.8,12:12,L,Animals unresponsive to prodding,NA,336,2.53,"Preble County, Ohio",Temperate,39.778,1.6,39.778,-84.69,Field,NA,1982,Layne and Claussen 1982b,"Layne, J. R., and D. L. Claussen. 1982. The time courses of CTMax and CTMin acclimation in the salamander Desmognathus fuscus. Journal of Thermal Biology 7:139-141.",1524467,6.18,Not introduced,NA,NA,78,1.89,Terrestrial,0.003431373,29.2,Not threatened,0
1012_Rana clamitans,1012,Anura,Ranidae,Rana,clamitans,Ranidae,Rana,clamitans,Ranidae,Rana clamitans,Rana,clamitans,Adult,3,A,Given,29.9,NA,Y,0,0,0,23,3.9,NA,12:12,L,Loss of righting response,NA,422,2.63,"Long Island, New York",Temperate,42,1.623,42,-73.135,Field,NA,1962,Brattstrom and Lawrence 1962,"Brattstrom, B. H., and P. Lawrence. 1962. The rate of thermal acclimation in anuran amphibians. Physiological Zoology 35:148-156.",3826484,6.58,Introduced,NA,NA,87,1.94,Aquatic,0.026780712,25.7,Not threatened,0
695_Desmognathus fuscus,695,Caudata,Plethodontidae,Desmognathus,fuscus,Plethodontidae,Desmognathus,fuscus,Plethodontidae,Desmognathus fuscus,Desmognathus,fuscus,Adult,7,A,Given,34.1,NA,Y,0.5,0.5,0.18,25,4.8,0.8,12:12,L,Animals unresponsive to prodding,NA,336,2.53,"Preble County, Ohio",Temperate,39.778,1.6,39.778,-84.69,Field,NA,1982,Layne and Claussen 1982b,"Layne, J. R., and D. L. Claussen. 1982. The time courses of CTMax and CTMin acclimation in the salamander Desmognathus fuscus. Journal of Thermal Biology 7:139-141.",1524467,6.18,Not introduced,NA,NA,78,1.89,Terrestrial,0.003431373,29.2,Not threatened,0
772_Ambystoma tigrinum,772,Caudata,Ambystomatidae,Ambystoma,tigrinum,Ambystomatidae,Ambystoma,tigrinum,Ambystomatidae,Ambystoma tigrinum,Ambystoma,tigrinum,larva,15,B,N given,33.9,NA,Y,1,1,0.3,2,NA,1,24:0,L,Loss of righting response,NA,689,2.84,"Buffalo County, Nebraska",Temperate,40.841,1.611,40.841,-99.101,Field,NA,1980,Nietfeldt et al. 1980,"Nietfeldt, J. W., S. M. Jones, D. L. Droge, and R. E. Ballinger. 1980. Rate of thermal acclimation in larval Ambystoma tigrinum. Journal of Herpetology 14:209-211.",4317635,6.64,Not introduced,0,3660,265,2.42,Aquatic & terrestrial,0.021618647,31,Not threatened,0
768_Ambystoma tigrinum,768,Caudata,Ambystomatidae,Ambystoma,tigrinum,Ambystomatidae,Ambystoma,tigrinum,Ambystomatidae,Ambystoma tigrinum,Ambystoma,tigrinum,larva,15,B,N given,37.6,NA,Y,1,1,0.3,28,NA,1,24:0,L,Loss of righting response,NA,689,2.84,"Buffalo County, Nebraska",Temperate,40.841,1.611,40.841,-99.101,Field,NA,1980,Nietfeldt et al. 1980,"Nietfeldt, J. W., S. M. Jones, D. L. Droge, and R. E. Ballinger. 1980. Rate of thermal acclimation in larval Ambystoma tigrinum. Journal of Herpetology 14:209-211.",4317635,6.64,Not introduced,0,3660,265,2.42,Aquatic & terrestrial,0.021618647,31,Not threatened,0
1030_Anaxyrus fowleri,1030,Anura,Bufonidae,Bufo,fowleri,Bufonidae,Bufo,fowleri,Bufonidae,Anaxyrus fowleri,Anaxyrus,fowleri,Adult,3,A,Given,36.4,NA,Y,1,1,0.3,23,10.4,NA,12:12,L,Loss of righting response,NA,422,2.63,"Long Island, New York",Temperate,42,1.623,42,-73.135,Field,NA,1962,Brattstrom and Lawrence 1962,"Brattstrom, B. H., and P. Lawrence. 1962. The rate of thermal acclimation in anuran amphibians. Physiological Zoology 35:148-156.",1991277,6.3,Not introduced,NA,NA,55,1.74,Terrestrial,0.026780712,25.7,Not threatened,0
696_Desmognathus fuscus,696,Caudata,Plethodontidae,Desmognathus,fuscus,Plethodontidae,Desmognathus,fuscus,Plethodontidae,Desmognathus fuscus,Desmognathus,fuscus,Adult,7,A,Given,34.8,NA,Y,1,1,0.3,25,5.5,0.8,12:12,L,Animals unresponsive to prodding,NA,336,2.53,"Preble County, Ohio",Temperate,39.778,1.6,39.778,-84.69,Field,NA,1982,Layne and Claussen 1982b,"Layne, J. R., and D. L. Claussen. 1982. The time courses of CTMax and CTMin acclimation in the salamander Desmognathus fuscus. Journal of Thermal Biology 7:139-141.",1524467,6.18,Not introduced,NA,NA,78,1.89,Terrestrial,0.003431373,29.2,Not threatened,0
63_Eurycea bislineata,63,Caudata,Plethodontidae,Eurycea,bislineata,Plethodontidae,Eurycea,bislineata,Plethodontidae,Eurycea bislineata,Eurycea,bislineata,Adult,7,A,Given,34.6,NA,Y,1,1,0.3,25,5.3,0.8,12:12,L,Loss of righting response,NA,336,2.53,"Preble County, Ohio",Temperate,39.778,1.6,39.778,-84.69,Field,NA,1982,Layne and Claussen 1982,"Layne Jr, J. R., and D. L. Claussen. 1982. Seasonal variation in the thermal acclimation of critical thermal maxima (CTMax) and minima (CTMin) in the salamander Eurycea bislineata. Journal of Thermal Biology 7:29-33.",1195927,6.08,Not introduced,NA,NA,78,1.89,Terrestrial,0.003431373,29.2,Not threatened,0
58_Eurycea bislineata,58,Caudata,Plethodontidae,Eurycea,bislineata,Plethodontidae,Eurycea,bislineata,Plethodontidae,Eurycea bislineata,Eurycea,bislineata,Adult,7,A,Given,35.5,NA,Y,1,1,0.3,25,6.2,0.8,12:12,L,Loss of righting response,NA,336,2.53,"Preble County, Ohio",Temperate,39.778,1.6,39.778,-84.69,Field,NA,1982,Layne and Claussen 1982,"Layne Jr, J. R., and D. L. Claussen. 1982. Seasonal variation in the thermal acclimation of critical thermal maxima (CTMax) and minima (CTMin) in the salamander Eurycea bislineata. Journal of Thermal Biology 7:29-33.",1195927,6.08,Not introduced,NA,NA,78,1.89,Terrestrial,0.003431373,29.2,Not threatened,0
1022_Lithobates catesbeiana,1022,Anura,Ranidae,Rana,catesbeiana,Ranidae,Rana,catesbeiana,Ranidae,Lithobates catesbeiana,Lithobates,catesbeiana,Adult,3,A,Given,33.4,NA,Y,1,1,0.3,23,7.3,NA,12:12,L,Loss of righting response,NA,422,2.63,"Long Island, New York",Temperate,42,1.623,42,-73.135,Field,NA,1962,Brattstrom and Lawrence 1962,"Brattstrom, B. H., and P. Lawrence. 1962. The rate of thermal acclimation in anuran amphibians. Physiological Zoology 35:148-156.",6914656,6.84,Introduced,NA,NA,146,2.16,Aquatic & terrestrial,0.026780712,25.7,Not threatened,0
